predicate,isInUMLS,weight
were not related,0,66.8917
were significantly elevated,0,66.8917
were younger than,0,66.8917
will be needed,0,66.8917
will continue to,0,66.8917
with incidence of,0,66.8917
with men with,0,66.8917
would be associated,0,66.8917
modelling,0,66.7414
independently predicted,0,66.6293
splicing,1,66.2329
pooling,1,66.1895
after esophagectomy for,0,66.0754
extracellular signal-regulated kinases,1,66.0754
in intake of,0,66.0754
mcf-7 human breast,0,66.0754
metastatic colorectal cancer,1,66.0754
robot-assisted radical prostatectomy,0,66.0754
second primary cancers,1,66.0754
integrity of,1,65.8579
advised,0,65.748
implanted,1,65.748
retained,1,65.748
shortened,1,65.748
stained,1,65.748
underestimated,0,65.5839
alleviate,0,65.2847
diminish,1,65.2847
drives,1,65.2847
listed,0,65.2847
refers,1,65.2847
synthesize,0,65.2847
takes,0,65.2847
understudied,0,65.2847
worsening,1,65.2847
frequently diagnosed,0,65.1438
previously identified,0,65.1438
recently discovered,0,65.1438
labeling,1,65.013
acknowledged,0,64.8411
advocating,0,64.8411
amplified,0,64.8411
conflicting,1,64.8411
covers,1,64.8411
emerge,0,64.8411
expect,0,64.8411
exploited,0,64.8411
generating,0,64.8411
go,1,64.8411
modeling,1,64.8411
revealing,1,64.8411
smoke,1,64.8411
verify,1,64.8411
acute coronary syndrome,1,64.7365
acute lymphoblastic leukaemia,1,64.7365
diet-related chronic diseases,0,64.7365
in women from,0,64.7365
of adults with,0,64.7365
other anthropometric measures,0,64.7365
engineered,1,64.4729
rated,1,64.4729
transplanted,1,64.4729
underserved,0,64.4729
collecting,1,63.9605
engaging,1,63.9605
keeping,0,63.9605
abdominal adipose tissue,1,63.5767
diffuse large b-cell,0,63.5767
for children with,0,63.5767
in prevalence of,0,63.5767
low back pain,1,63.5767
of egcg on,0,63.5767
positive surgical margin,1,63.5767
was no relationship,0,63.5767
were significantly related,0,63.5767
moving,1,63.4732
offering,0,63.4732
pay,1,63.4732
said,1,63.4732
score,1,63.4732
transformed,1,63.4732
values,1,63.4732
worsened,1,63.4732
adducts,1,63.0576
approached,0,63.0085
bearing,1,63.0085
combating,0,63.0085
coming,0,63.0085
interpreted,1,63.0085
questioned,0,63.0085
guided,0,62.7324
attempt,1,62.5645
elicit,1,62.5645
encompassing,0,62.5645
generates,0,62.5645
implies,0,62.5645
learn,1,62.5645
pertaining,0,62.5645
possesses,1,62.5645
quantifying,0,62.5645
queried,0,62.5645
translate,1,62.5645
abdominal fat distribution,0,62.5536
adverse pathological features,0,62.5536
chronic respiratory disease,1,62.5536
has been given,0,62.5536
human umbilical vein,0,62.5536
imprinted,1,62.5536
in data from,0,62.5536
in levels of,0,62.5536
in participants with,0,62.5536
in pathogenesis of,0,62.5536
in populations of,0,62.5536
might be responsible,0,62.5536
multivariate relative risk,0,62.5536
obesity-related chronic diseases,0,62.5536
of genes in,0,62.5536
of mets in,0,62.5536
peroxisome proliferator-activated receptor-γ,0,62.5536
polycyclic aromatic hydrocarbons,1,62.5536
remains a major,0,62.5536
saturated fat intake,1,62.5536
showed an increase,0,62.5536
significant inverse association,0,62.5536
strong positive association,0,62.5536
total abdominal hysterectomy,1,62.5536
total fat intake,0,62.5536
was more than,0,62.5536
was stronger for,0,62.5536
were attenuated by,0,62.5536
were from the,0,62.5536
were no associations,0,62.5536
were positive for,0,62.5536
with activation of,0,62.5536
with men in,0,62.5536
localised,1,62.3276
correlated significantly,0,61.87
individually matched,0,61.87
staging,1,61.6697
tailoring,1,61.6697
adverse prognostic factor,0,61.6385
assessed the role,0,61.6385
between levels of,0,61.6385
but only among,0,61.6385
by age at,0,61.6385
by alterations in,0,61.6385
can be classified,0,61.6385
can be defined,0,61.6385
can be drawn,0,61.6385
for identification of,0,61.6385
found that a,0,61.6385
had an odds,0,61.6385
has been performed,0,61.6385
has been postulated,0,61.6385
has demonstrated that,0,61.6385
in collaboration with,0,61.6385
in men in,0,61.6385
in patients of,0,61.6385
innate immune system,0,61.6385
investigated the impact,0,61.6385
investigated the influence,0,61.6385
is a better,0,61.6385
is a cross-sectional,0,61.6385
is a crucial,0,61.6385
is a general,0,61.6385
is a nuclear,0,61.6385
is a primary,0,61.6385
is characterised by,0,61.6385
is increased by,0,61.6385
is induced by,0,61.6385
is produced in,0,61.6385
is the largest,0,61.6385
may be attributable,0,61.6385
may be helpful,0,61.6385
may therefore be,0,61.6385
median operative time,0,61.6385
might be involved,0,61.6385
novel therapeutic target,0,61.6385
novel therapeutic targets,0,61.6385
of evidence for,0,61.6385
of follow-up in,0,61.6385
of knowledge of,0,61.6385
of research in,0,61.6385
of screening for,0,61.6385
other dietary factors,0,61.6385
over time in,0,61.6385
provides a unique,0,61.6385
roux-en-y gastric bypass,1,61.6385
should be implemented,0,61.6385
should be monitored,0,61.6385
showed that a,0,61.6385
significant independent predictor,0,61.6385
was analyzed as,0,61.6385
was completed in,0,61.6385
was directly related,0,61.6385
was followed by,0,61.6385
was induced by,0,61.6385
was mediated by,0,61.6385
was no effect,0,61.6385
was not affected,0,61.6385
was quantified by,0,61.6385
was similar between,0,61.6385
were calculated with,0,61.6385
were compared among,0,61.6385
were decreased in,0,61.6385
were entered into,0,61.6385
were followed through,0,61.6385
were found with,0,61.6385
were genotyped for,0,61.6385
were included for,0,61.6385
were retrospectively analyzed,0,61.6385
were stronger in,0,61.6385
will be necessary,0,61.6385
will be required,0,61.6385
with duration of,0,61.6385
elicited,1,61.1796
exclude,1,61.1796
move,1,61.1796
resolved,1,61.1796
slow,1,61.1796
completely understood,0,61.1538
generally accepted,0,61.1538
improved by,1,61.1538
previously published,0,61.1538
widely recognized,0,61.1538
banding,1,61.0225
calculating,1,60.7135
compute,0,60.7135
helping,0,60.7135
integrate,0,60.7135
total,1,60.7135
translated,1,60.7135
scavenging,0,60.4339
emptying,1,60.3978
assuming,0,60.269
characterizing,0,60.269
implicates,0,60.269
implying,0,60.269
look,1,60.269
outlined,0,60.269
outlines,1,60.269
recruit,0,60.269
deleted,1,59.881
newly developed,0,59.4871
replaced by,1,59.4871
watching,1,59.4259
allocated,0,59.3597
capture,0,58.8666
eliminated,1,58.8666
permit,1,58.8666
recalled,0,58.8666
self-reported,0,58.8666
targets,0,58.8666
inserted,1,58.7159
ameliorated,0,58.3988
ameliorates,0,58.3988
anticipated,0,58.3988
impacting,0,58.3988
lack,1,58.3988
moderate,1,58.3988
outline,0,58.3988
place,1,58.3988
recommends,1,58.3988
resolve,1,58.3988
restoring,0,58.3988
ai,1,58.1166
eaten,0,58.1166
quit,1,58.1166
adds,0,57.9538
disrupted,1,57.9538
eliminating,0,57.9538
keep,1,57.9538
proliferating,1,57.9538
secretes,0,57.9538
underlies,0,57.9538
utilize,0,57.9538
well-designed,0,57.9538
worsen,1,57.9538
commonly observed,0,57.8295
created by,1,57.8295
weighing,1,57.5561
approved by,1,57.1108
dramatically increased,0,57.1108
extensively investigated,0,57.1108
prospectively enrolled,0,57.1108
significantly suppressed,0,57.1108
breastfed,0,57.0521
depleted,1,57.0295
preceding,1,57.0295
classify,1,56.533
coexisting,0,56.533
construct,1,56.533
interpret,1,56.533
sustained,1,56.533
breast-feeding,0,56.3916
running,1,56.3916
dried,1,56.1641
correlates,0,56.0634
creates,0,56.0634
designated,1,56.0634
discharged,0,56.0634
disseminated,1,56.0634
down-regulated,0,56.0634
draw,1,56.0634
encodes,0,56.0634
exacerbates,0,56.0634
feel,1,56.0634
justify,1,56.0634
sampled,1,56.0634
transmitted,1,56.0634
post,1,55.7801
appreciated,0,55.6179
confounded,0,55.6179
connecting,0,55.6179
delivering,0,55.6179
enter,1,55.6179
favors,0,55.6179
leaving,0,55.6179
losing,0,55.6179
minimizing,0,55.6179
optimizing,0,55.6179
pointed,0,55.6179
prolong,0,55.6179
speculate,0,55.6179
unravel,0,55.6179
upregulated,0,55.6179
warrants,0,55.6179
days per,1,55.4216
fell,1,54.6783
incubated,1,54.6783
practicing,0,54.6783
revised,1,54.6783
constituted,0,54.178
preserving,1,54.178
correlated positively,0,53.7321
significantly differed,0,53.7321
absorbed,0,53.7064
elevates,0,53.7064
fitted,1,53.7064
gender,1,53.7064
operate,1,53.7064
optimized,0,53.7064
preceded,1,53.7064
squared,0,53.7064
wish,1,53.7064
capping,1,53.4236
shifting,1,53.4236
attempting,0,53.2602
compiled,0,53.2602
devoted,0,53.2602
disappeared,0,53.2602
illustrated,0,53.2602
implicating,0,53.2602
maintains,0,53.2602
predisposed,1,53.2602
results,1,53.2602
subdivided,0,53.2602
tolerated,0,53.2602
commonly reported,0,53.0104
completed by,1,53.0104
generally considered,0,53.0104
newly discovered,0,53.0104
not confirmed,1,53.0104
recently developed,0,53.0104
recently shown,0,53.0104
significantly affected,0,53.0104
significantly attenuated,0,53.0104
significantly modified,0,53.0104
falling,1,52.8443
forced,1,52.8443
purified,1,52.8443
group versus,0,52.3635
blunted,1,52.305
formulated,0,52.305
mixed,1,52.305
sets,0,52.305
helped,0,51.8005
rule,1,51.8005
accompanies,0,51.3265
assesses,0,51.3265
augment,1,51.3265
bear,1,51.3265
decline,0,51.3265
enabling,1,51.3265
interconnected,0,51.3265
interferes,1,51.3265
limits,1,51.3265
luteinizing,0,51.3265
proteins,1,51.3265
scored,1,51.3265
select,1,51.3265
accounts,0,51.0466
accomplished,0,50.8797
ascribed,0,50.8797
belong,0,50.8797
damage,1,50.8797
dealing,0,50.8797
deliver,1,50.8797
fight,1,50.8797
insulin-sensitizing,0,50.8797
maximize,0,50.8797
offset,1,50.8797
outweigh,0,50.8797
poses,0,50.8797
rely,0,50.8797
reviewing,1,50.8797
sacrificed,0,50.8797
synthesizes,0,50.8797
undertook,0,50.8797
visited,0,50.8797
yielding,0,50.8797
upgrading,0,50.7443
labeled,1,50.4557
wanted,1,50.4557
correlated negatively,0,50.3833
moderately differentiated,1,50.3833
transfected,0,50.0429
dosed,0,49.9085
felt,0,49.9085
mimics,1,49.9085
silenced,0,49.9085
store,1,49.9085
demonstrated significantly,0,49.5726
highly regulated,0,49.5726
mutually adjusted,0,49.5726
partially mediated,0,49.5726
significantly influenced,0,49.5726
missed,1,49.3991
polychlorinated,0,49.3991
responding,0,49.3991
stratify,0,49.3991
disclosed,0,49.3108
agree,0,48.9227
cured,1,48.9227
deemed,0,48.9227
educate,1,48.9227
exhibiting,1,48.9227
manifest,1,48.9227
signal,1,48.9227
start,1,48.9227
summarise,0,48.9227
turn,1,48.9227
consistently reported,0,48.8473
directly involved,0,48.8473
markedly reduced,0,48.8473
measured from,1,48.8473
modestly increased,0,48.8473
not seen,1,48.8473
poorly defined,1,48.8473
previously showed,0,48.8473
prospectively investigated,0,48.8473
recently found,0,48.8473
retrospectively evaluated,0,48.8473
significantly altered,0,48.8473
widely studied,0,48.8473
aggregated,1,48.6485
ameliorating,0,48.4751
answer,1,48.4751
attenuating,0,48.4751
biased,1,48.4751
challenged,0,48.4751
complicate,1,48.4751
compromise,1,48.4751
cover,1,48.4751
encompasses,0,48.4751
favoring,1,48.4751
forms,1,48.4751
governing,0,48.4751
manipulate,1,48.4751
paralleled,0,48.4751
reinforce,0,48.4751
spanning,0,48.4751
dissected,1,47.4877
grade,1,47.4877
impairing,1,47.4877
inoculated,0,47.4877
project,1,47.4877
parenting,1,47.3613
choose,1,46.9727
corresponds,0,46.9727
dieting,1,46.9727
rescued,0,46.9727
catalyze,0,46.4933
excised,0,46.4933
fulfilled,0,46.4933
harbor,1,46.4933
initiates,0,46.4933
interacted,0,46.4933
knowing,0,46.4933
launched,0,46.4933
opposing,0,46.4933
range,1,46.4933
stated,1,46.4933
disordered,0,46.2288
saved,0,46.2288
accompany,0,46.0448
analyzes,0,46.0448
building,1,46.0448
categorised,0,46.0448
completing,0,46.0448
conferring,0,46.0448
correlating,0,46.0448
end,1,46.0448
evolve,0,46.0448
hampered,0,46.0448
hindered,0,46.0448
noticed,0,46.0448
originating,0,46.0448
potentiate,0,46.0448
preserve,0,46.0448
search,1,46.0448
shifted,1,46.0448
strengthen,0,46.0448
surrounded,1,46.0448
tackling,0,46.0448
disabling,0,45.608
perceive,0,45.608
tagging,0,45.608
drank,0,45.0411
neutralizing,0,45.0411
practiced,0,45.0411
cleaved,1,44.5197
dominated,0,44.5197
shape,1,44.5197
solved,0,44.5197
correspond,0,44.0369
defines,0,44.0369
differentiating,1,44.0369
displays,1,44.0369
favour,0,44.0369
hypothesised,0,44.0369
killed,1,44.0369
pursued,0,44.0369
replace,1,44.0369
counts,1,43.7875
#NAME?,0,43.5875
begins,0,43.5875
brings,0,43.5875
call,1,43.5875
checked,1,43.5875
compares,0,43.5875
constituting,0,43.5875
coordinate,1,43.5875
dichotomized,0,43.5875
discussing,0,43.5875
interpreting,1,43.5875
justified,0,43.5875
mimicking,0,43.5875
opened,1,43.5875
opens,1,43.5875
precluded,0,43.5875
prompt,1,43.5875
release,1,43.5875
relied,0,43.5875
replacing,1,43.5875
replicate,1,43.5875
secreting,1,43.5875
stabilizing,1,43.5875
turned,1,43.5875
up-regulated,0,43.5875
annotated,1,43.1469
co-cultured,0,43.1469
persisting,0,43.1469
deal,0,42.5674
fasted,0,42.5674
non-smoking,0,42.5674
switched,0,42.5674
access,1,42.0384
bridging,0,42.0384
cooked,1,42.0384
originated,0,42.0384
staged,0,42.0384
sporting,1,41.5898
ate,1,41.5517
counseling,1,41.5517
exercising,0,41.5517
exerting,1,41.5517
issued,0,41.5517
spread,1,41.5517
switching,0,41.5517
translating,1,41.5517
underlines,0,41.5517
written,1,41.5517
simulate,1,41.3248
told,0,41.3248
approach,1,41.1011
belongs,0,41.1011
break,1,41.1011
clustered,0,41.1011
contacted,0,41.1011
emerges,0,41.1011
exploit,0,41.1011
frequency-matched,0,41.1011
illustrates,0,41.1011
judged,0,41.1011
lacks,1,41.1011
lend,0,41.1011
organized,1,41.1011
perturbed,0,41.1011
potentiated,0,41.1011
sent,1,41.1011
stand,1,41.1011
uncover,0,41.1011
underline,0,41.1011
underpinning,0,41.1011
underscores,0,41.1011
tweets,0,40.8192
monitors,1,40.6598
overestimated,0,40.6598
minimise,0,40.065
adapt,1,39.5269
cloned,1,39.5269
sampling,1,39.5269
associating,1,39.0356
deciding,0,39.0356
diets,1,39.0356
functioning,1,39.0356
introducing,0,39.0356
metabolized,1,39.0356
overeating,1,39.0356
postulate,0,39.0356
render,0,39.0356
shaped,1,39.0356
witnessed,1,39.0356
caring,1,38.5837
categorize,1,38.5837
claimed,0,38.5837
cloning,1,38.5837
communicate,1,38.5837
cooperate,0,38.5837
correct,1,38.5837
delaying,0,38.5837
discriminate,1,38.5837
distinguished,0,38.5837
dropped,1,38.5837
fails,1,38.5837
fall,1,38.5837
further,1,38.5837
hope,1,38.5837
lessen,0,38.5837
manipulating,1,38.5837
processes,0,38.5837
progressing,1,38.5837
realized,0,38.5837
recommending,0,38.5837
restricting,1,38.5837
reverses,1,38.5837
snoring,1,38.2785
positioned,0,37.5322
stopped,1,37.5322
clotting,1,36.9831
licensed,1,36.9831
organised,1,36.9831
summarizing,0,36.9831
swelling,1,36.9831
underrepresented,0,36.9831
accessed,1,36.4864
afflicted,0,36.4864
complement,1,36.4864
corresponded,0,36.4864
cross,1,36.4864
dissect,1,36.4864
inside,1,36.4864
lies,0,36.4864
metabolizing,0,36.4864
mitigated,0,36.4864
motivate,0,36.4864
referring,1,36.4864
slowing,1,36.4864
tracking,1,36.4864
adhere,1,36.0329
administering,0,36.0329
age,1,36.0329
argue,0,36.0329
attain,0,36.0329
attend,1,36.0329
blocks,1,36.0329
catalyzes,0,36.0329
challenge,1,36.0329
combines,1,36.0329
complicating,1,36.0329
cost,1,36.0329
counter,1,36.0329
counteracted,0,36.0329
disrupts,1,36.0329
documenting,1,36.0329
elicits,1,36.0329
filled,1,36.0329
foster,1,36.0329
goes,1,36.0329
grew,0,36.0329
ignored,1,36.0329
match,1,36.0329
necessitating,0,36.0329
normalize,1,36.0329
overcoming,0,36.0329
persists,0,36.0329
relies,0,36.0329
seeks,0,36.0329
stabilized,1,36.0329
strengthening,0,36.0329
transferred,1,36.0329
weighted,1,36.0329
westernized,0,36.0329
viewing,0,35.6051
off,1,34.9672
ordered,1,34.9672
regained,0,34.9672
conjugates,1,34.7986
alongside,0,34.4045
attribute,1,34.4045
coexist,0,34.4045
community-dwelling,0,34.4045
harboring,0,34.4045
interviewing,1,34.4045
accessing,1,33.9012
augmented,1,33.9012
communicated,1,33.9012
consist,1,33.9012
counseled,0,33.9012
discontinued,1,33.9012
doubling,1,33.9012
down-regulating,0,33.9012
downregulated,0,33.9012
expose,0,33.9012
mobilized,1,33.9012
needing,1,33.9012
originate,0,33.9012
preclude,0,33.9012
provokes,0,33.9012
sorting,1,33.9012
up-regulating,0,33.9012
adhered,1,33.4458
antagonize,0,33.4458
approaches,1,33.4458
characterizes,0,33.4458
choosing,1,33.4458
claims,0,33.4458
close,1,33.4458
coincide,0,33.4458
coincided,0,33.4458
concentrating,0,33.4458
confound,0,33.4458
converting,0,33.4458
convincing,0,33.4458
coordinating,1,33.4458
curb,1,33.4458
decided,0,33.4458
delineating,0,33.4458
diminishes,0,33.4458
diminishing,1,33.4458
discern,0,33.4458
discovering,0,33.4458
downregulating,0,33.4458
encode,1,33.4458
encompass,0,33.4458
enjoy,0,33.4458
extract,1,33.4458
fill,1,33.4458
govern,0,33.4458
hoped,0,33.4458
host,1,33.4458
impose,0,33.4458
lists,0,33.4458
looks,1,33.4458
married,1,33.4458
measures,1,33.4458
meets,0,33.4458
minimized,0,33.4458
overexpressing,0,33.4458
progresses,1,33.4458
refined,0,33.4458
reinforced,0,33.4458
removing,0,33.4458
ruled,1,33.4458
shaping,1,33.4458
sponsored,0,33.4458
track,1,33.4458
transport,1,33.4458
undergoes,0,33.4458
undertake,0,33.4458
worsens,1,33.4458
partitioning,0,33.0377
underreporting,0,33.0377
feature,1,32.3683
bone,1,31.7883
conjugated,1,31.7883
pops,0,31.7883
recall,1,31.7883
represses,0,31.7883
speaking,1,31.7883
stretching,1,31.7883
advise,0,31.2768
afforded,0,31.2768
aggravated,1,31.2768
classifying,1,31.2768
en,1,31.2768
exercised,0,31.2768
impart,0,31.2768
impede,0,31.2768
knew,0,31.2768
paying,0,31.2768
recovered,1,31.2768
rendered,0,31.2768
sharing,1,31.2768
substituted,0,31.2768
think,1,31.2768
accrued,0,30.8192
acted,0,30.8192
advocate,1,30.8192
appearing,0,30.8192
calls,0,30.8192
catalyzed,0,30.8192
changes,1,30.8192
closed,1,30.8192
compounded,1,30.8192
compromising,0,30.8192
concentrated,1,30.8192
connect,1,30.8192
consenting,0,30.8192
convened,0,30.8192
converging,1,30.8192
delineated,0,30.8192
deriving,1,30.8192
disseminate,1,30.8192
double,1,30.8192
educating,1,30.8192
elaborate,0,30.8192
escalating,0,30.8192
exacerbating,0,30.8192
intertwined,0,30.8192
marketed,0,30.8192
mitigating,0,30.8192
moved,1,30.8192
note,1,30.8192
orchestrate,0,30.8192
passing,0,30.8192
places,1,30.8192
posed,0,30.8192
prolonging,0,30.8192
putting,0,30.8192
rank,1,30.8192
refer,1,30.8192
requested,1,30.8192
resemble,0,30.8192
shift,1,30.8192
sleep,1,30.8192
speculated,0,30.8192
stabilize,1,30.8192
summarised,0,30.8192
summarises,0,30.8192
supposed,0,30.8192
surpassed,0,30.8192
sustaining,1,30.8192
tackle,0,30.8192
till,0,30.8192
trained,0,30.8192
translates,0,30.8192
unraveling,0,30.8192
upregulates,0,30.8192
